"titel","subtitel","autor","volume","issue","heft","pubdatum","seiten","zitat_url","volltext_url",,
"Integration als Kampf der Kulturen                                                                                                                                                                                                                             ","","[""Hondrich, Karl Otto""]","60                       ","6                        ","Heft: 686                ","2006-06","481-498","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Integration+als+Kampf+der+Kulturen&rft.volume=60&rft.issue=6&rft.spage=481&rft.epage=498&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Öffentlichkeit und Privatheit: Deutschland im 20. Jahrhundert                                                                                                                                                                                                  ","","[""Nolte, Paul""]","60                       ","6                        ","Heft: 686                ","2006-06","499-512","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C3%96ffentlichkeit+und+Privatheit%3A+Deutschland+im+20.+Jahrhundert&rft.volume=60&rft.issue=6&rft.spage=499&rft.epage=512&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"»Wir haben die Tür abgeschlossen«                                                                                                                                                                                                                              ","","[""Piskorski, Jan M.""]","60                       ","6                        ","Heft: 686                ","2006-06","513-521","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C2%BBWir+haben+die+T%C3%BCr+abgeschlossen%C2%AB&rft.volume=60&rft.issue=6&rft.spage=513&rft.epage=521&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Ästhetikkolumne                                                                                                                                                                                                                                                ","","[""Demand, Christian""]","60                       ","6                        ","Heft: 686                ","2006-06","522-527","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C3%84sthetikkolumne&rft.volume=60&rft.issue=6&rft.spage=522&rft.epage=527&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Ökonomiekolumne                                                                                                                                                                                                                                                ","","[""Heuser, Uwe Jean""]","60                       ","6                        ","Heft: 686                ","2006-06","527-533","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C3%96konomiekolumne&rft.volume=60&rft.issue=6&rft.spage=527&rft.epage=533&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Jenseits von Hitler ohne Kompaß auf der Weltbühne                                                                                                                                                                                                              ","","[""Speckmann, Thomas""]","60                       ","6                        ","Heft: 686                ","2006-06","533-537","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Jenseits+von+Hitler+ohne+Kompa%C3%9F+auf+der+Weltb%C3%BChne&rft.volume=60&rft.issue=6&rft.spage=533&rft.epage=537&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Ist eine Wissenschaft von Europa möglich und notwendig?                                                                                                                                                                                                        ","","[""Müller, Hans-Peter""]","60                       ","6                        ","Heft: 686                ","2006-06","538-542","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Ist+eine+Wissenschaft+von+Europa+m%C3%B6glich+und+notwendig%3F&rft.volume=60&rft.issue=6&rft.spage=538&rft.epage=542&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Konservative als Fusionskünstler                                                                                                                                                                                                                               ","","[""Müller, Jan-Werner""]","60                       ","6                        ","Heft: 686                ","2006-06","543-548","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Konservative+als+Fusionsk%C3%BCnstler&rft.volume=60&rft.issue=6&rft.spage=543&rft.epage=548&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"1956 - ein europäisches Jahr                                                                                                                                                                                                                                   ","","[""Kowalczuk, Ilko-Sascha""]","60                       ","6                        ","Heft: 686                ","2006-06","549-556","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=1956+-+ein+europ%C3%A4isches+Jahr&rft.volume=60&rft.issue=6&rft.spage=549&rft.epage=556&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Begegnung unter dem Roten Platz                                                                                                                                                                                                                                ","","[""Schacht, Ulrich""]","60                       ","6                        ","Heft: 686                ","2006-06","556-559","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Begegnung+unter+dem+Roten+Platz&rft.volume=60&rft.issue=6&rft.spage=556&rft.epage=559&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Kunst und Kritik                                                                                                                                                                                                                                               ","Ein Lagebericht","[""Gewen, Barry""]","60                       ","5                        ","Heft: 685                ","2006-05","377-387","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Kunst+und+Kritik&rft.volume=60&rft.issue=5&rft.spage=377&rft.epage=387","                                                                                                                                                                                                                                                               ",
"Zur Realität des geringsten Ranges                                                                                                                                                                                                                             ","Julia Warhola als Weltkulturerbe","[""Wackwitz, Stephan""]","60                       ","5                        ","Heft: 685                ","2006-05","388-397","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Zur+Realit%C3%A4t+des+geringsten+Ranges&rft.volume=60&rft.issue=5&rft.spage=388&rft.epage=397","                                                                                                                                                                                                                                                               ",
"Gerbers Ei                                                                                                                                                                                                                                                     ","Zur Szene der Neuen Musik","[""Fuhrmann, Wolfgang""]","60                       ","5                        ","Heft: 685                ","2006-05","398-409","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Gerbers+Ei&rft.volume=60&rft.issue=5&rft.spage=398&rft.epage=409","                                                                                                                                                                                                                                                               ",
"Leben heißt sterben lernen                                                                                                                                                                                                                                     ","","[""Reemtsma, Jan Philipp""]","60                       ","5                        ","Heft: 685                ","2006-05","410-424","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Leben+hei%C3%9Ft+sterben+lernen&rft.volume=60&rft.issue=5&rft.spage=410&rft.epage=424","                                                                                                                                                                                                                                                               ",
"Literatur oder Wirklichkeit                                                                                                                                                                                                                                    ","Die Flucht der Kulturwissenschaft vor der Kunst","[""Bohrer, Karl Heinz""]","60                       ","5                        ","Heft: 685                ","2006-05","425-435","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Literatur+oder+Wirklichkeit&rft.volume=60&rft.issue=5&rft.spage=425&rft.epage=435","                                                                                                                                                                                                                                                               ",
"Bergwerk                                                                                                                                                                                                                                                       ","Sechs Gedichte","[""Gulden, Alfred""]","60                       ","5                        ","Heft: 685                ","2006-05","436-438","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Bergwerk&rft.volume=60&rft.issue=5&rft.spage=436&rft.epage=438","                                                                                                                                                                                                                                                               ",
"Rechtskolumne                                                                                                                                                                                                                                                  ","Feindstrafrecht?","[""Meier, Horst""]","60                       ","5                        ","Heft: 685                ","2006-05","439-444","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Rechtskolumne&rft.volume=60&rft.issue=5&rft.spage=439&rft.epage=444","                                                                                                                                                                                                                                                               ",
"Die verkannte Stimme des Realen                                                                                                                                                                                                                                ","Der Mythenforscher René Girard","[""Türcke, Christoph""]","60                       ","5                        ","Heft: 685                ","2006-05","444-448","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Die+verkannte+Stimme+des+Realen&rft.volume=60&rft.issue=5&rft.spage=444&rft.epage=448","                                                                                                                                                                                                                                                               ",
"Wir fangen noch einmal an                                                                                                                                                                                                                                      ","Über Lars Gustafssons großen Romanzyklus","[""Schimmang, Jochen""]","60                       ","5                        ","Heft: 685                ","2006-05","448-452","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Wir+fangen+noch+einmal+an&rft.volume=60&rft.issue=5&rft.spage=448&rft.epage=452","                                                                                                                                                                                                                                                               ",
"Wie es der weißen Frau möglich wird, den Affen zu lieben                                                                                                                                                                                                       ","","[""Recki, Birgit""]","60                       ","5                        ","Heft: 685                ","2006-05","453-458","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Wie+es+der+wei%C3%9Fen+Frau+m%C3%B6glich+wird%2C+den+Affen+zu+lieben&rft.volume=60&rft.issue=5&rft.spage=453&rft.epage=458","                                                                                                                                                                                                                                                               "
"Tschernobyl lebt                                                                                                                                                                                                                                               ","","[""Plate, Christoph""]","60                       ","5                        ","Heft: 685                ","2006-05","459-463","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Tschernobyl+lebt&rft.volume=60&rft.issue=5&rft.spage=459&rft.epage=463","                                                                                                                                                                                                                                                               ",
"Vom Schinden                                                                                                                                                                                                                                                   ","","[""Niemeyer, Helmut""]","60                       ","5                        ","Heft: 685                ","2006-05","463-467","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Vom+Schinden&rft.volume=60&rft.issue=5&rft.spage=463&rft.epage=467","                                                                                                                                                                                                                                                               ",
"Habermas oder Reemtsma                                                                                                                                                                                                                                         ","In eigener Sache","[""Spaemann, Robert""]","60                       ","5                        ","Heft: 685                ","2006-05","467-468","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Habermas+oder+Reemtsma&rft.volume=60&rft.issue=5&rft.spage=467&rft.epage=468","                                                                                                                                                                                                                                                               ",
"Der Vierte Weltkrieg                                                                                                                                                                                                                                           ","","[""Corn, Tony""]","60                       ","4                        ","Heft: 684                ","2006-04","285-294","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Der+Vierte+Weltkrieg&rft.volume=60&rft.issue=4&rft.spage=285&rft.epage=294&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Terror und Gewalt                                                                                                                                                                                                                                              ","","[""Müller, Hans-Peter""]","60                       ","4                        ","Heft: 684                ","2006-04","295-304","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Terror+und+Gewalt&rft.volume=60&rft.issue=4&rft.spage=295&rft.epage=304&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Sozialgeschichte im Zeitalter der Globalisierung                                                                                                                                                                                                               ","","[""Kocka, Jürgen""]","60                       ","4                        ","Heft: 684                ","2006-04","305-316","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Sozialgeschichte+im+Zeitalter+der+Globalisierung&rft.volume=60&rft.issue=4&rft.spage=305&rft.epage=316&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Geschichte bei Goethe                                                                                                                                                                                                                                          ","","[""Demandt, Alexander""]","60                       ","4                        ","Heft: 684                ","2006-04","317-327","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Geschichte+bei+Goethe&rft.volume=60&rft.issue=4&rft.spage=317&rft.epage=327&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Leutnant Pepi zieht in den Krieg                                                                                                                                                                                                                               ","","[""Klier, Walter""]","60                       ","4                        ","Heft: 684                ","2006-04","328-340","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Leutnant+Pepi+zieht+in+den+Krieg&rft.volume=60&rft.issue=4&rft.spage=328&rft.epage=340&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Ökologiekolumne                                                                                                                                                                                                                                                ","","[""Reichholf, Josef H.""]","60                       ","4                        ","Heft: 684                ","2006-04","341-346","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C3%96kologiekolumne&rft.volume=60&rft.issue=4&rft.spage=341&rft.epage=346&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Das Verschwinden der Tragödie                                                                                                                                                                                                                                  ","","[""Bohrer, Karl Heinz""]","60                       ","4                        ","Heft: 684                ","2006-04","346-353","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Das+Verschwinden+der+Trag%C3%B6die&rft.volume=60&rft.issue=4&rft.spage=346&rft.epage=353&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Was ist das unter der glatten Haut?                                                                                                                                                                                                                            ","","[""Schäfer, Gerd""]","60                       ","4                        ","Heft: 684                ","2006-04","353-358","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Was+ist+das+unter+der+glatten+Haut%3F&rft.volume=60&rft.issue=4&rft.spage=353&rft.epage=358&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Wirtschaftliche Entwicklung durch Demokratisierung                                                                                                                                                                                                             ","","[""Simson, Uwe""]","60                       ","4                        ","Heft: 684                ","2006-04","359-364","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Wirtschaftliche+Entwicklung+durch+Demokratisierung&rft.volume=60&rft.issue=4&rft.spage=359&rft.epage=364&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Eigeninteresse und Selbstachtung                                                                                                                                                                                                                               ","","[""Heinen, René""]","60                       ","4                        ","Heft: 684                ","2006-04","365-370","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Eigeninteresse+und+Selbstachtung&rft.volume=60&rft.issue=4&rft.spage=365&rft.epage=370&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Chronik (XXII)                                                                                                                                                                                                                                                 ","","[""Hanika, Iris""]","60                       ","4                        ","Heft: 684                ","2006-04","371-374","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Chronik+%28XXII%29&rft.volume=60&rft.issue=4&rft.spage=371&rft.epage=374&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Das Scheinproblem »Willensfreiheit«                                                                                                                                                                                                                            ","","[""Reemtsma, Jan Philipp""]","60                       ","3                        ","Heft: 683                ","2006-03","193-206","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Das+Scheinproblem+%C2%BBWillensfreiheit%C2%AB&rft.volume=60&rft.issue=3&rft.spage=193&rft.epage=206&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Die Psychoanalyse und der Geist des Kapitalismus                                                                                                                                                                                                               ","","[""Zaretsky, Eli""]","60                       ","3                        ","Heft: 683                ","2006-03","207-222","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Die+Psychoanalyse+und+der+Geist+des+Kapitalismus&rft.volume=60&rft.issue=3&rft.spage=207&rft.epage=222&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Reisen mit Freud                                                                                                                                                                                                                                               ","","[""Roudinesco, Élisabeth""]","60                       ","3                        ","Heft: 683                ","2006-03","223-233","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Reisen+mit+Freud&rft.volume=60&rft.issue=3&rft.spage=223&rft.epage=233&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Am schönsten sind Religionen doch im Ausland                                                                                                                                                                                                                   ","","[""Rack, Jochen""]","60                       ","3                        ","Heft: 683                ","2006-03","234-242","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Am+sch%C3%B6nsten+sind+Religionen+doch+im+Ausland&rft.volume=60&rft.issue=3&rft.spage=234&rft.epage=242&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Geschichtskolumne                                                                                                                                                                                                                                              ","","[""Speck, Ulrich""]","60                       ","3                        ","Heft: 683                ","2006-03","243-248","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Geschichtskolumne&rft.volume=60&rft.issue=3&rft.spage=243&rft.epage=248&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Literaturkolumne                                                                                                                                                                                                                                               ","","[""Meller, Marius""]","60                       ","3                        ","Heft: 683                ","2006-03","248-252","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Literaturkolumne&rft.volume=60&rft.issue=3&rft.spage=248&rft.epage=252&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Der verlorene Plot                                                                                                                                                                                                                                             ","","[""Bahners, Patrick""]","60                       ","3                        ","Heft: 683                ","2006-03","253-259","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Der+verlorene+Plot&rft.volume=60&rft.issue=3&rft.spage=253&rft.epage=259&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Französische Zustände                                                                                                                                                                                                                                          ","","[""Ackermann, Ulrike""]","60                       ","3                        ","Heft: 683                ","2006-03","260-265","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Franz%C3%B6sische+Zust%C3%A4nde&rft.volume=60&rft.issue=3&rft.spage=260&rft.epage=265&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Prüfung der Macht                                                                                                                                                                                                                                              ","","[""Schabert, Tilo""]","60                       ","3                        ","Heft: 683                ","2006-03","265-270","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Pr%C3%BCfung+der+Macht&rft.volume=60&rft.issue=3&rft.spage=265&rft.epage=270&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Der Täter ist immer das Opfer                                                                                                                                                                                                                                  ","","[""Stein, Hannes""]","60                       ","3                        ","Heft: 683                ","2006-03","270-274","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Der+T%C3%A4ter+ist+immer+das+Opfer&rft.volume=60&rft.issue=3&rft.spage=270&rft.epage=274&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"»Wo wir uns finden«                                                                                                                                                                                                                                            ","","[""Weiß, Christina""]","60                       ","3                        ","Heft: 683                ","2006-03","275-281","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C2%BBWo+wir+uns+finden%C2%AB&rft.volume=60&rft.issue=3&rft.spage=275&rft.epage=281&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Heinrich Heines Erfindung                                                                                                                                                                                                                                      ","","[""Bohrer, Karl Heinz""]","60                       ","2                        ","Heft: 682                ","2006-02","97-111","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Heinrich+Heines+Erfindung&rft.volume=60&rft.issue=2&rft.spage=97&rft.epage=111&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"»Natur und Kunst, sie scheinen sich zu fliehen«                                                                                                                                                                                                                ","","[""Adler, Jeremy""]","60                       ","2                        ","Heft: 682                ","2006-02","112-123","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C2%BBNatur+und+Kunst%2C+sie+scheinen+sich+zu+fliehen%C2%AB&rft.volume=60&rft.issue=2&rft.spage=112&rft.epage=123&rft.issn=0026-0096","                                                                                                                                                                                                                                                               "
"Rückerts Wiederkehr in Mahlers Musik                                                                                                                                                                                                                           ","","[""Neumann, Peter Horst""]","60                       ","2                        ","Heft: 682                ","2006-02","124-132","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=R%C3%BCckerts+Wiederkehr+in+Mahlers+Musik&rft.volume=60&rft.issue=2&rft.spage=124&rft.epage=132&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Wahrheit und Existenz                                                                                                                                                                                                                                          ","","[""Gerhardt, Volker""]","60                       ","2                        ","Heft: 682                ","2006-02","133-143","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Wahrheit+und+Existenz&rft.volume=60&rft.issue=2&rft.spage=133&rft.epage=143&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Philosophiekolumne                                                                                                                                                                                                                                             ","","[""Türcke, Christoph""]","60                       ","2                        ","Heft: 682                ","2006-02","144-148","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Philosophiekolumne&rft.volume=60&rft.issue=2&rft.spage=144&rft.epage=148&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Politikkolumne                                                                                                                                                                                                                                                 ","","[""Marschall, Christoph von""]","60                       ","2                        ","Heft: 682                ","2006-02","149-153","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Politikkolumne&rft.volume=60&rft.issue=2&rft.spage=149&rft.epage=153&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Zeugnis vom Untergang                                                                                                                                                                                                                                          ","","[""Manthey, Jürgen""]","60                       ","2                        ","Heft: 682                ","2006-02","153-159","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Zeugnis+vom+Untergang&rft.volume=60&rft.issue=2&rft.spage=153&rft.epage=159&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Um Deutschland                                                                                                                                                                                                                                                 ","","[""Klier, Walter""]","60                       ","2                        ","Heft: 682                ","2006-02","159-163","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Um+Deutschland&rft.volume=60&rft.issue=2&rft.spage=159&rft.epage=163&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Der Moralschmarotzer                                                                                                                                                                                                                                           ","","[""Lahmann, Henning""]","60                       ","2                        ","Heft: 682                ","2006-02","164-167","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Der+Moralschmarotzer&rft.volume=60&rft.issue=2&rft.spage=164&rft.epage=167&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Moralin in Wort und »Bild«                                                                                                                                                                                                                                     ","","[""Mangler, Albrecht""]","60                       ","2                        ","Heft: 682                ","2006-02","167-170","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Moralin+in+Wort+und+%C2%BBBild%C2%AB&rft.volume=60&rft.issue=2&rft.spage=167&rft.epage=170&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Freundschaft mit dem türkischen Prinzen                                                                                                                                                                                                                        ","","[""Matis, Sven""]","60                       ","2                        ","Heft: 682                ","2006-02","170-173","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Freundschaft+mit+dem+t%C3%BCrkischen+Prinzen&rft.volume=60&rft.issue=2&rft.spage=170&rft.epage=173&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Der zweite vor dem ersten Schritt                                                                                                                                                                                                                              ","","[""Pietsch, Michael""]","60                       ","2                        ","Heft: 682                ","2006-02","173-176","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Der+zweite+vor+dem+ersten+Schritt&rft.volume=60&rft.issue=2&rft.spage=173&rft.epage=176&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
