"titel","subtitel","autor","volume","issue","heft","pubdatum","seiten","zitat_url","volltext_url",,
"Weltgefühle, deutsche Gefühle                                                                                                                                                                                                                                  ","","[""Hondrich, Karl Otto""]","60                       ","11                       ","Heft: 691                ","2006-11","1011-1024","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Weltgef%C3%BChle%2C+deutsche+Gef%C3%BChle&rft.volume=60&rft.issue=11&rft.spage=1011&rft.epage=1024&rft.issn=0026-0096","                                                                                                                                                                                                                                                               "
"Kulturelle Grundlagen wirtschaftlichen Erfolgs                                                                                                                                                                                                                 ","","[""Kohlhammer, Siegfried""]","60                       ","11                       ","Heft: 691                ","2006-11","1025-1037","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Kulturelle+Grundlagen+wirtschaftlichen+Erfolgs&rft.volume=60&rft.issue=11&rft.spage=1025&rft.epage=1037&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Das Opfer des eigenen Lebens                                                                                                                                                                                                                                   ","","[""Pohlmann, Friedrich""]","60                       ","11                       ","Heft: 691                ","2006-11","1038-1045","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Das+Opfer+des+eigenen+Lebens&rft.volume=60&rft.issue=11&rft.spage=1038&rft.epage=1045&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Neid                                                                                                                                                                                                                                                           ","","[""Paris, Rainer""]","60                       ","11                       ","Heft: 691                ","2006-11","1046-1060","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Neid&rft.volume=60&rft.issue=11&rft.spage=1046&rft.epage=1060&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Philosophiekolumne                                                                                                                                                                                                                                             ","","[""Gerhardt, Volker""]","60                       ","11                       ","Heft: 691                ","2006-11","1061-1067","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Philosophiekolumne&rft.volume=60&rft.issue=11&rft.spage=1061&rft.epage=1067&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Musikkolumne                                                                                                                                                                                                                                                   ","","[""Fischer, Jens Malte""]","60                       ","11                       ","Heft: 691                ","2006-11","1067-1072","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Musikkolumne&rft.volume=60&rft.issue=11&rft.spage=1067&rft.epage=1072&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Die Macht der Kultur                                                                                                                                                                                                                                           ","","[""Wackwitz, Stephan""]","60                       ","11                       ","Heft: 691                ","2006-11","1072-1076","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Die+Macht+der+Kultur&rft.volume=60&rft.issue=11&rft.spage=1072&rft.epage=1076&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Seine Geschichte ist wahr                                                                                                                                                                                                                                      ","","[""Coyne, Jerry A.""]","60                       ","11                       ","Heft: 691                ","2006-11","1076-1083","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Seine+Geschichte+ist+wahr&rft.volume=60&rft.issue=11&rft.spage=1076&rft.epage=1083&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Die Erosion der Mitte                                                                                                                                                                                                                                          ","","[""Adam, Konrad""]","60                       ","11                       ","Heft: 691                ","2006-11","1084-1089","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Die+Erosion+der+Mitte&rft.volume=60&rft.issue=11&rft.spage=1084&rft.epage=1089&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Die unsichtbare Hand hat schon viel Unheil angerichtet                                                                                                                                                                                                         ","","[""Bendixen, Peter""]","60                       ","11                       ","Heft: 691                ","2006-11","1089-1094","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Die+unsichtbare+Hand+hat+schon+viel+Unheil+angerichtet&rft.volume=60&rft.issue=11&rft.spage=1089&rft.epage=1094&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Das eigentliche Fiasko des politischen Moralismus                                                                                                                                                                                                              ","","[""Bohrer, Karl Heinz""]","60                       ","11                       ","Heft: 691                ","2006-11","1095-1098","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Das+eigentliche+Fiasko+des+politischen+Moralismus&rft.volume=60&rft.issue=11&rft.spage=1095&rft.epage=1098&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Der Gott des Realismus: Rembrandt                                                                                                                                                                                                                              ","","[""Hughes, Robert""]","60                       ","8                        ","Heft: 688                ","2006-08","655-664","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Der+Gott+des+Realismus%3A+Rembrandt&rft.volume=60&rft.issue=8&rft.spage=655&rft.epage=664&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Im Museum der Nation erfindet sich die Tradition                                                                                                                                                                                                               ","","[""Wackwitz, Stephan""]","60                       ","8                        ","Heft: 688                ","2006-08","665-673","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Im+Museum+der+Nation+erfindet+sich+die+Tradition&rft.volume=60&rft.issue=8&rft.spage=665&rft.epage=673&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Im Zentrum steht die Freiheit                                                                                                                                                                                                                                  ","","[""Reeves, Richard""]","60                       ","8                        ","Heft: 688                ","2006-08","674-684","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Im+Zentrum+steht+die+Freiheit&rft.volume=60&rft.issue=8&rft.spage=674&rft.epage=684&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Von falschen und richtigen Alephs                                                                                                                                                                                                                              ","","[""Federmair, Leopold""]","60                       ","8                        ","Heft: 688                ","2006-08","685-695","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Von+falschen+und+richtigen+Alephs&rft.volume=60&rft.issue=8&rft.spage=685&rft.epage=695&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Über Niklas Luhmanns intellektuelles Vermächtnis                                                                                                                                                                                                               ","","[""Gumbrecht, Hans Ulrich""]","60                       ","8                        ","Heft: 688                ","2006-08","696-706","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C3%9Cber+Niklas+Luhmanns+intellektuelles+Verm%C3%A4chtnis&rft.volume=60&rft.issue=8&rft.spage=696&rft.epage=706&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Geschichtskolumne                                                                                                                                                                                                                                              ","","[""Speck, Ulrich""]","60                       ","8                        ","Heft: 688                ","2006-08","707-711","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Geschichtskolumne&rft.volume=60&rft.issue=8&rft.spage=707&rft.epage=711&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Literaturkolumne                                                                                                                                                                                                                                               ","","[""Meller, Marius""]","60                       ","8                        ","Heft: 688                ","2006-08","711-714","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Literaturkolumne&rft.volume=60&rft.issue=8&rft.spage=711&rft.epage=714&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Deutungslust                                                                                                                                                                                                                                                   ","","[""Segebrecht, Wulf""]","60                       ","8                        ","Heft: 688                ","2006-08","715-718","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Deutungslust&rft.volume=60&rft.issue=8&rft.spage=715&rft.epage=718&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Auf dem hohen Roß                                                                                                                                                                                                                                              ","","[""Knipphals, Dirk""]","60                       ","8                        ","Heft: 688                ","2006-08","718-723","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Auf+dem+hohen+Ro%C3%9F&rft.volume=60&rft.issue=8&rft.spage=718&rft.epage=723&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Ein Mann, ein Wort                                                                                                                                                                                                                                             ","","[""Kipphoff, Petra""]","60                       ","8                        ","Heft: 688                ","2006-08","724-728","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Ein+Mann%2C+ein+Wort&rft.volume=60&rft.issue=8&rft.spage=724&rft.epage=728&rft.issn=0026-0096","                                                                                                                                                                                                                                                               "
"»Könnte jeder brave Mann solche Glöckchen finden«                                                                                                                                                                                                              ","","[""Dieckmann, Friedrich""]","60                       ","8                        ","Heft: 688                ","2006-08","729-731","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C2%BBK%C3%B6nnte+jeder+brave+Mann+solche+Gl%C3%B6ckchen+finden%C2%AB&rft.volume=60&rft.issue=8&rft.spage=729&rft.epage=731&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Die Ehre im Tal der Wölfe                                                                                                                                                                                                                                      ","","[""Steinfeld, Thomas""]","60                       ","8                        ","Heft: 688                ","2006-08","732-737","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Die+Ehre+im+Tal+der+W%C3%B6lfe&rft.volume=60&rft.issue=8&rft.spage=732&rft.epage=737&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Fährnisse mobilen Lebens                                                                                                                                                                                                                                       ","","[""Raeithel, Gert""]","60                       ","8                        ","Heft: 688                ","2006-08","738-742","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=F%C3%A4hrnisse+mobilen+Lebens&rft.volume=60&rft.issue=8&rft.spage=738&rft.epage=742&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Vom säkularen Geist der Politik                                                                                                                                                                                                                                ","","[""Gerhardt, Volker""]","60                       ","7                        ","Heft: 687                ","2006-07","563-574","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Vom+s%C3%A4kularen+Geist+der+Politik&rft.volume=60&rft.issue=7&rft.spage=563&rft.epage=574&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Wie Berlin wieder Hauptstadt wurde                                                                                                                                                                                                                             ","","[""Rudolph, Hermann""]","60                       ","7                        ","Heft: 687                ","2006-07","575-585","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Wie+Berlin+wieder+Hauptstadt+wurde&rft.volume=60&rft.issue=7&rft.spage=575&rft.epage=585&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Neue Szenen der Boheme                                                                                                                                                                                                                                         ","","[""Rutschky, Michael""]","60                       ","7                        ","Heft: 687                ","2006-07","586-594","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Neue+Szenen+der+Boheme&rft.volume=60&rft.issue=7&rft.spage=586&rft.epage=594&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Verzweifelt geliebt                                                                                                                                                                                                                                            ","","[""Knipphals, Dirk""]","60                       ","7                        ","Heft: 687                ","2006-07","595-604","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Verzweifelt+geliebt&rft.volume=60&rft.issue=7&rft.spage=595&rft.epage=604&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Warum die armen Länder arm sind                                                                                                                                                                                                                                ","","[""Harford, Tim""]","60                       ","7                        ","Heft: 687                ","2006-07","605-614","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Warum+die+armen+L%C3%A4nder+arm+sind&rft.volume=60&rft.issue=7&rft.spage=605&rft.epage=614&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Politikkolumne                                                                                                                                                                                                                                                 ","","[""Marschall, Christoph von""]","60                       ","7                        ","Heft: 687                ","2006-07","615-619","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Politikkolumne&rft.volume=60&rft.issue=7&rft.spage=615&rft.epage=619&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Ökologiekolumne                                                                                                                                                                                                                                                ","","[""Reichholf, Josef H.""]","60                       ","7                        ","Heft: 687                ","2006-07","620-624","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=%C3%96kologiekolumne&rft.volume=60&rft.issue=7&rft.spage=620&rft.epage=624&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Ein Fremder                                                                                                                                                                                                                                                    ","","[""Sparr, Thomas""]","60                       ","7                        ","Heft: 687                ","2006-07","624-629","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Ein+Fremder&rft.volume=60&rft.issue=7&rft.spage=624&rft.epage=629&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Der Tod und die Toten                                                                                                                                                                                                                                          ","","[""Macho, Thomas""]","60                       ","7                        ","Heft: 687                ","2006-07","630-635","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Der+Tod+und+die+Toten&rft.volume=60&rft.issue=7&rft.spage=630&rft.epage=635&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Nationalgefühl                                                                                                                                                                                                                                                 ","","[""Franke, Berthold""]","60                       ","7                        ","Heft: 687                ","2006-07","636-641","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Nationalgef%C3%BChl&rft.volume=60&rft.issue=7&rft.spage=636&rft.epage=641&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Europa und seine Sprachen                                                                                                                                                                                                                                      ","","[""Gauger, Hans-Martin""]","60                       ","7                        ","Heft: 687                ","2006-07","642-646","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Europa+und+seine+Sprachen&rft.volume=60&rft.issue=7&rft.spage=642&rft.epage=646&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Ohne Verletzungspech fünffacher Weltmeister                                                                                                                                                                                                                    ","","[""Degens, Marc""]","60                       ","7                        ","Heft: 687                ","2006-07","647-651","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Ohne+Verletzungspech+f%C3%BCnffacher+Weltmeister&rft.volume=60&rft.issue=7&rft.spage=647&rft.epage=651&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
"Blasphemie                                                                                                                                                                                                                                                     ","","[""Türcke, Christoph""]","60                       ","6                        ","Heft: 686                ","2006-06","471-480","https://volltext.merkur-zeitschrift.de/?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&rtf.jtitle=MERKUR&rft.atitle=Blasphemie&rft.volume=60&rft.issue=6&rft.spage=471&rft.epage=480&rft.issn=0026-0096","                                                                                                                                                                                                                                                               ",
